symbol,exchange,date,open_price,high_price,low_price,close_price,volume,daily_return,volatility,sma_5,sma_20,rsi,news_headlines,news_sentiment_score
AAPL,NASDAQ,2025-09-04,238.4499969482422,239.89999389648438,236.74000549316406,239.77999877929688,47549400,0.005493343195739575,nan,234.53399963378905,nan,nan,Why Apple (AAPL) Shares Are Sliding Today - Yahoo Finance | Here’s Why Apple (AAPL) Traded Lower in Q2 - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-05,240.0,241.32000732421875,238.49000549316406,239.69000244140625,54870400,-0.00037532879451496193,nan,235.96000061035156,nan,65.80461392332563,Why Apple (AAPL) Shares Are Sliding Today - Yahoo Finance | Here’s Why Apple (AAPL) Traded Lower in Q2 - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-08,239.3000030517578,240.14999389648438,236.33999633789062,237.8800048828125,48999500,-0.007551410322323426,nan,237.10800170898438,nan,61.78753883531869,Why Apple (AAPL) Shares Are Sliding Today - Yahoo Finance | Here’s Why Apple (AAPL) Traded Lower in Q2 - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-09,237.0,238.77999877929688,233.36000061035156,234.35000610351562,66313900,-0.014839409394815983,nan,238.03400268554688,nan,55.768662650915815,Why Apple (AAPL) Shares Are Sliding Today - Yahoo Finance | Here’s Why Apple (AAPL) Traded Lower in Q2 - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-10,232.19000244140625,232.4199981689453,225.9499969482422,226.7899932861328,83440800,-0.03225949486019408,nan,235.6980010986328,nan,51.08756148622197,Why Apple (AAPL) Shares Are Sliding Today - Yahoo Finance | Here’s Why Apple (AAPL) Traded Lower in Q2 - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-11,226.8800048828125,230.4499969482422,226.64999389648438,230.02999877929688,50208600,0.014286368839370622,nan,233.7480010986328,nan,56.751784945407344,Rosenblatt Lifts PT on Apple (AAPL) Stock - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-12,229.22000122070312,234.50999450683594,229.02000427246094,234.07000732421875,55824200,0.017562963814985233,nan,232.6240020751953,nan,58.05465038594961,Rosenblatt Lifts PT on Apple (AAPL) Stock - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-15,237.0,238.19000244140625,235.02999877929688,236.6999969482422,42699500,0.011235910376080627,nan,232.38800048828125,231.9629997253418,61.57766261259376,Apple (AAPL) Valuation: Examining the Numbers After Recent Stock Moves - Yahoo Finance,0.0
AAPL,NASDAQ,2025-09-16,237.17999267578125,241.22000122070312,236.32000732421875,238.14999389648438,63384900,0.0061258849469238985,0.015067242631076422,233.147998046875,232.32599945068358,60.91357572579089,Why Apple Stock Inched Higher on Tuesday - The Motley Fool,0.0
AAPL,NASDAQ,2025-09-17,238.97000122070312,240.10000610351562,238.7899932861328,239.37539672851562,16309869,0.005145508559466494,0.015068090527993277,235.66507873535156,232.7667694091797,60.9573371499065,"iPhone 17 Won’t Bring ‘Super Cycle’ for Apple (AAPL), AT&T CEO Says - uk.finance.yahoo.com | Tigress Financial Issues Positive Forecast for Apple (NASDAQ:AAPL) Stock Price - MarketBeat | Apple Inc (AAPL)'s Winning Formula: Financial Metrics and Compet - GuruFocus | Anderson Financial Strategies LLC Increases Stake in Apple Inc. $AAPL - MarketBeat | Apple Inc. $AAPL Shares Sold by Howard Financial Services LTD. - MarketBeat | Apple iPhone Air and iPhone 17 review: Apple's strongest lineup in years - Yahoo Finance | First Financial Bank Trust Division Sells 4,245 Shares of Apple Inc. $AAPL - MarketBeat",0.3333333333333333
